title,category,tags,author_name,author_username,status,view_count,avg_rating,read_time_minutes,summary,content,published_at
Setting Up a Secure VPN for Remote Workers,IT Infrastructure,"cloud,storage,backup",Emma Brown,emma.brown,approved,1631,3.3,14,"This article covers setting up a secure vpn for remote workers for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers setting up a secure vpn for remote workers for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for cloud</li><li>Step 2: Complete the required action for storage</li><li>Step 3: Complete the required action for backup</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2024-10-28 00:00:00
AWS S3 Backup Policy and Retention Guidelines,IT Infrastructure,"azure,virtualization,networking",Emma Brown,emma.brown,published,1813,3.4,14,"This article covers aws s3 backup policy and retention guidelines for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers aws s3 backup policy and retention guidelines for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for azure</li><li>Step 2: Complete the required action for virtualization</li><li>Step 3: Complete the required action for networking</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2024-10-21 00:00:00
DNS Configuration Best Practices,IT Infrastructure,"cloud,azure",Frank Lee,frank.lee,published,2128,3.3,8,"This article covers dns configuration best practices for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers dns configuration best practices for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for cloud</li><li>Step 2: Complete the required action for azure</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2025-02-09 00:00:00
Migrating On-Premise Servers to Azure Cloud,IT Infrastructure,"azure,networking,backup",Alice Johnson,alice.johnson,published,325,4.6,11,"This article covers migrating on-premise servers to azure cloud for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers migrating on-premise servers to azure cloud for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for azure</li><li>Step 2: Complete the required action for networking</li><li>Step 3: Complete the required action for backup</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2024-11-06 00:00:00
Network Monitoring with Grafana and Prometheus,IT Infrastructure,"cloud,vpn",Alice Johnson,alice.johnson,approved,248,4.2,10,"This article covers network monitoring with grafana and prometheus for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers network monitoring with grafana and prometheus for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for cloud</li><li>Step 2: Complete the required action for vpn</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2024-05-13 00:00:00
Disaster Recovery Planning for Critical Systems,IT Infrastructure,"storage,aws,virtualization,servers",Grace Chen,grace.chen,approved,649,4.3,14,"This article covers disaster recovery planning for critical systems for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers disaster recovery planning for critical systems for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for storage</li><li>Step 2: Complete the required action for aws</li><li>Step 3: Complete the required action for virtualization</li><li>Step 4: Complete the required action for servers</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2024-10-01 00:00:00
Configuring Active Directory Group Policies,IT Infrastructure,"storage,virtualization",Bob Martinez,bob.martinez,approved,2246,4.3,13,"This article covers configuring active directory group policies for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers configuring active directory group policies for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for storage</li><li>Step 2: Complete the required action for virtualization</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2025-01-29 00:00:00
Kubernetes Cluster Maintenance Checklist,IT Infrastructure,"backup,cloud,dns",Grace Chen,grace.chen,approved,2041,3.6,11,"This article covers kubernetes cluster maintenance checklist for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers kubernetes cluster maintenance checklist for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for backup</li><li>Step 2: Complete the required action for cloud</li><li>Step 3: Complete the required action for dns</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2024-02-07 00:00:00
SSL/TLS Certificate Management Guide,IT Infrastructure,"virtualization,azure,storage,dns",Emma Brown,emma.brown,published,1727,4.1,17,"This article covers ssl/tls certificate management guide for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers ssl/tls certificate management guide for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for virtualization</li><li>Step 2: Complete the required action for azure</li><li>Step 3: Complete the required action for storage</li><li>Step 4: Complete the required action for dns</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2024-05-18 00:00:00
Patch Management Schedule and Procedures,IT Infrastructure,"vpn,cloud,virtualization,dns",Bob Martinez,bob.martinez,published,2239,4.3,13,"This article covers patch management schedule and procedures for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.","<h2>Overview</h2><p>This article covers patch management schedule and procedures for the IT Infrastructure domain. It provides step-by-step guidance, best practices, and practical examples to help team members follow organisational standards effectively.</p><h2>Key Steps</h2><ul><li>Step 1: Complete the required action for vpn</li><li>Step 2: Complete the required action for cloud</li><li>Step 3: Complete the required action for virtualization</li><li>Step 4: Complete the required action for dns</li></ul><h2>Best Practices</h2><p>Always follow company policy when dealing with it infrastructure matters. Consult your manager or the relevant team lead if you are unsure about any step.</p><h2>References</h2><p>See the related policies in the knowledge base for further details.</p>",2024-02-27 00:00:00
